,School_type,Local_Ed_Auth,Estab_group,School_ID,Is_Closed,School_type_2,Rel_Denom,Selective_School,School_gender,School_feeder_sixth_form,School_primary,School_sixth_form,Num_pupils_GCSEs,Pct_Boys,DISAD_pct_GCSEpup,Prog8_overall_measure,Num_GCSEpup_all_Ebacc,Pct_GCSEpup_enter_Ebacc_Maths,Pct_GCSEpup_enter_Ebacc_Science,Pct_GCSEpup_enter_Ebacc_Humanities,Pct_GCSEpup_enter_Ebacc_Lang,Pct_GCSEpup_any_qual,Pct_GCSEpup_more_onelang,Pct_GCSEpup_3_sciences,Avg_num_GCSEs_equiv_pup,Prog8_band,Teachers_FTE,TAs_FTE,Staff_non_classroom,Pupil_Teacher_ratio,Mean_Gross_FTE_Sal
2245,0,919.0,4122.0,117537.0,0.0,FD,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,166.0,53.0,36.0,-0.15,10.0,99.0,99.0,96.0,12.0,100.0,1.0,14.0,8.1,3.0,58.4,16.5,33.1,16.9,38120.0
2246,0,919.0,4141.0,137002.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,213.0,53.0,11.0,0.45,44.0,100.0,100.0,98.0,46.0,100.0,6.0,41.0,9.2,3.0,58.3,7.3,14.9,15.5,42025.0
2247,0,919.0,4200.0,137637.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,234.0,62.0,12.0,0.0,21.0,100.0,98.0,80.0,35.0,100.0,3.0,22.0,8.2,3.0,90.9,8.9,30.4,14.7,40297.0
2248,0,919.0,4498.0,137090.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,151.0,58.0,17.0,0.19,44.0,99.0,99.0,94.0,45.0,100.0,1.0,19.0,8.6,3.0,68.5,14.1,18.3,15.1,38877.0
2249,0,919.0,4499.0,117552.0,0.0,CY,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,70.0,54.0,50.0,-0.72,13.0,99.0,96.0,81.0,14.0,100.0,3.0,0.0,7.8,5.0,36.2,4.9,25.4,13.7,40756.0
2250,0,919.0,4504.0,138352.0,0.0,ACC,Church of England,OTHER NON SEL,MIXED,0.0,0.0,1.0,238.0,53.0,11.0,0.23,39.0,100.0,99.0,75.0,47.0,100.0,1.0,21.0,8.2,2.0,90.9,22.1,38.5,16.4,40189.0
2251,0,919.0,4606.0,117555.0,0.0,VA,Church of England,OTHER NON SEL,MIXED,0.0,0.0,1.0,75.0,45.0,11.0,0.32,13.0,99.0,97.0,75.0,17.0,99.0,0.0,40.0,7.8,2.0,40.0,6.6,6.8,15.5,41021.0
2252,0,919.0,4614.0,138356.0,0.0,ACC,Christian,OTHER NON SEL,MIXED,0.0,0.0,1.0,190.0,49.0,4.0,0.83,33.0,100.0,100.0,62.0,62.0,100.0,3.0,17.0,8.7,1.0,78.6,9.3,34.7,17.0,40754.0
2253,0,919.0,4620.0,138106.0,0.0,ACC,Roman Catholic,OTHER NON SEL,GIRLS,0.0,0.0,1.0,147.0,0.0,16.0,0.89,79.0,99.0,99.0,93.0,82.0,99.0,13.0,24.0,9.2,1.0,53.7,9.5,16.1,17.6,41644.0
2254,0,919.0,4802.0,136922.0,0.0,ACC,Jewish,OTHER NON SEL,MIXED,0.0,0.0,1.0,143.0,46.0,9.0,1.27,45.0,100.0,100.0,76.0,55.0,100.0,3.0,40.0,8.3,1.0,56.0,12.0,25.9,17.3,40007.0
2255,0,919.0,5406.0,117578.0,0.0,FD,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,203.0,52.0,10.0,0.35,41.0,100.0,99.0,75.0,47.0,100.0,5.0,22.0,8.9,2.0,77.4,13.5,30.6,16.5,38313.0
2256,0,919.0,5408.0,137872.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,168.0,53.0,19.0,0.04,20.0,99.0,99.0,56.0,46.0,99.0,2.0,35.0,8.2,3.0,70.5,29.0,28.5,16.7,37419.0
