LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
883,2402,114839,28,25,8,26.4,20.4,3.9,24.7,"£38,472"
883,2429,144448,19,31,6,18.5,11.7,5.1,20.9,"£36,404"
883,2439,143378,21,33,3,18.2,17.2,2.7,23.2,"£36,867"
883,2462,141897,15,27,4,14.5,14.8,2.5,28.2,"£38,209"
883,2472,139106,24,31,18,22.3,19.3,6.1,29.2,"£36,857"
883,2542,139105,33,44,8,30.7,34.4,5.3,23.1,"£38,441"
883,2592,139991,20,30,7,18.8,21.8,6.5,27.2,"£37,969"
883,2622,139104,24,40,11,23.0,29.3,8.3,19.2,"£32,918"
883,2644,138962,23,19,5,21.2,16.5,4.0,19.5,"£33,997"
883,2722,114968,25,21,6,21.0,10.9,4.2,21.3,"£35,079"
883,2824,138065,34,42,13,30.5,30.7,10.2,22.1,"£33,755"
883,2942,140720,23,29,7,20.9,19.5,5.0,21.1,"£38,142"
883,2984,141070,39,47,9,35.6,29.3,7.2,23.8,"£36,682"
883,2985,139166,27,31,5,23.6,20.2,4.4,18.2,"£36,625"
883,2987,138349,29,24,9,27.9,21.2,7.2,22.6,"£41,893"
883,3502,144587,10,14,2,8.8,7.8,1.8,23.5,"£38,286"
883,3512,115173,17,0,2,9.8,0.0,1.5,25.1,"£40,258"
883,3522,115174,11,17,6,9.4,9.3,5.1,26.2,"£37,564"
883,3603,115180,28,38,7,26.4,20.9,4.6,23.7,"£39,076"
883,3605,115181,13,21,5,10.1,12.7,3.4,25.3,"£35,937"
883,3822,139605,12,15,7,10.4,9.1,4.6,21.6,"£37,629"
883,4000,139578,47,14,16,45.1,12.2,15.0,16.8,"£36,198"
883,4001,143424,33,2,25,31.7,1.8,21.3,15.1,"£40,069"
883,4002,144750,1,3,2,1.0,2.8,2.0,SUPP,SUPP
883,4299,136387,85,31,47,78.2,19.2,33.0,15.0,"£39,797"
883,4394,137549,85,20,23,82.9,16.6,18.5,15.7,"£40,820"
883,4733,115239,42,10,15,37.2,6.9,12.7,15.6,"£42,117"
883,5266,138735,30,28,6,27.3,16.5,5.7,17.5,"£32,227"
883,5281,115093,11,11,7,9.6,7.0,6.0,26.1,"£38,748"
883,5438,137214,87,17,32,80.2,11.2,26.6,14.9,"£40,473"
883,5439,136854,117,28,70,103.1,11.3,40.9,14.2,"£39,492"
883,5440,137456,79,39,38,72.7,29.9,30.3,15.5,"£44,523"
883,6905,133114,36,16,45,34.5,13.4,41.0,29.6,"£41,134"
883,6906,135960,34,10,13,34.0,9.2,12.3,16.5,"£40,351"
884,2001,116645,4,7,4,3.9,3.9,2.1,16.3,"£37,157"
884,2002,140183,15,18,10,12.3,9.7,6.2,20.4,"£34,133"
884,2003,140617,39,30,14,32.4,20.6,8.6,17.9,"£35,823"
884,2005,136532,11,10,2,8.3,8.1,1.0,24.3,"£36,477"
884,2011,116654,4,7,3,3.0,3.3,1.0,16.3,SUPP
884,2014,137624,10,7,6,8.9,4.0,4.6,17.8,"£32,250"
884,2024,116666,12,13,3,10.6,7.8,2.2,20.8,"£35,294"
884,2029,139608,6,6,5,3.9,2.7,2.2,25.7,"£43,149"
884,2031,116668,6,3,0,4.6,1.6,0.0,19.6,"£37,984"
884,2046,116674,5,5,1,4.6,3.2,1.0,24.8,"£36,168"
884,2053,116677,4,6,4,3.4,2.7,1.8,18.5,"£38,138"
884,2056,116679,9,8,4,8.2,5.7,2.5,22.8,"£30,685"
884,2057,116680,16,23,6,14.8,16.7,3.3,16.9,"£35,225"
884,2061,136761,31,33,25,27.6,15.4,11.5,24.2,"£38,901"
884,2063,116684,31,31,5,27.3,27.8,4.0,20.4,"£38,033"
884,2067,116685,20,18,2,17.5,15.5,2.0,20.5,"£32,525"
884,2071,116686,30,34,6,26.4,17.6,2.7,22.6,"£36,938"
884,2094,136759,4,4,3,3.6,2.1,2.1,11.4,"£35,545"
884,2095,137415,12,22,2,9.4,11.4,1.4,19.2,"£31,677"
884,2096,116701,11,10,3,9.0,3.8,2.5,23.1,"£39,363"
884,2098,116702,26,32,12,22.6,15.2,6.3,19.3,"£39,160"
884,2101,116705,7,4,2,4.5,1.8,0.8,16.0,"£36,859"
884,2102,138035,11,10,4,9.7,3.8,2.4,20.4,"£38,410"
884,2103,116707,8,12,7,6.2,5.8,3.5,14.4,"£36,092"
884,2104,116708,11,13,10,9.3,7.9,3.0,22.2,"£35,906"
