Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records
117,PTEBAC2SCI_E_PTQ_EE,% of pupils entering the Ebacc Science subject area,,,,,
118,TEBACHUM_E_PTQ_EE,Number of pupils entering EBacc Humanities subject area,,,,,
119,PTEBACHUM_E_PTQ_EE,% of pupils entering the Ebacc Humanities subject area,,,,,
120,TEBACLAN_E_PTQ_EE,Number of pupils entering EBacc Language subject area,,,,,
121,PTEBACLAN_E_PTQ_EE,% of pupils entering the Ebacc Language subject area,,,,,
122,PTEBACENG_94,% of pupils achieving the EBacc English subject area with a standard 9-4 pass,Yes - see 2017 methodology sheet for methodology change,,,,
123,PTEBACENG_95,% of pupils achieving the EBacc English subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
124,PTEBACMAT_94, % of pupils achieving the EBacc Maths subject area with a standard 9-4 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
125,PTEBACMAT_95, % of pupils achieving the EBacc Maths subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
126,PTEBAC2SCI_94, % of entered pupils achieving the EBacc Science subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
127,PTEBAC2SCI_95, % of entered pupils achieving the EBacc Science subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
128,PTEBACHUM_94, % of entered pupils achieving the EBacc Humanities subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
129,PTEBACHUM_95, % of entered pupils achieving the EBacc Humanities subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
130,PTEBACLAN_94, % of entered pupils achieving the EBacc Language subject area with a 9-4/A*-C pass,Yes - see 2018 methodology sheet for methodology change,,,,
131,PTEBACLAN_95, % of entered pupils achieving the EBacc Language subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
132,SCIVACOV_PTQ_EE,Coverage of the English Baccalaureate Science Value Added indicators of those who entered for science,,,Yes,Yes,Yes
133,HUMVACOV_PTQ_EE,Coverage of the English Baccalaureate Humanities Value Added indicators of those who entered for humanities,,,Yes,Yes,Yes
134,LANVACOV_PTQ_EE,Coverage of the English Baccalaureate Language Value Added indicators of those who entered for languages,,,Yes,Yes,Yes
135,SCIVAMEA_PTQ_EE,English Baccalaureate Science Value Added measure,,,Yes,Yes,Yes
136,SCIVALOW_PTQ_EE,English Baccalaureate Science Value Added lower 95% confidence limit,,,Yes,Yes,Yes
137,SCIVAUPP_PTQ_EE,English Baccalaureate Science Value Added upper 95% confidence limit,,,Yes,Yes,Yes
138,HUMVAMEA_PTQ_EE,EBacc Humanities VA measure,,,,,
139,HUMVALOW_PTQ_EE,English Baccalaureate Humanities Value Added lower 95% confidence limit,,,Yes,Yes,Yes
140,HUMVAUPP_PTQ_EE,English Baccalaureate Humanities Value Added upper 95% confidence limit,,,Yes,Yes,Yes
141,LANVAMEA_PTQ_EE,English Baccalaureate Languages Value Added measure,,,Yes,Yes,Yes
142,LANVALOW_PTQ_EE,English Baccalaureate Languages Value Added lower 95% confidence limit,,,Yes,Yes,Yes
143,LANVAUPP_PTQ_EE,English Baccalaureate Languages Value Added upper 95% confidence limit,,,Yes,Yes,Yes
144,TEBACENG_94,Number of pupils achieving EBacc English subject area with a standard 9-4 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
145,TEBACENG_95,Number of pupils achieving EBacc English subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
146,TEBACMAT_94,Number of pupils achieving EBacc Maths subject area with a standard 9-4 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
147,TEBACMAT_95,Number of pupils achieving EBacc Maths subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
148,TEBAC2SCI_94,Number of pupils achieving EBacc Science subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
149,TEBAC2SCI_95,Number of pupils achieving EBacc Science subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
150,TEBACHUM_94,Number of pupils achieving EBacc Humanities subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
151,TEBACHUM_95,Number of pupils achieving EBacc Humanities subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
152,TEBACLAN_94,Number of pupils achieving EBacc Language subject area with a 9-4/A*-C pass,Yes - see 2018 methodology sheet for methodology change,,,,
153,TEBACLAN_95,Number of pupils achieving EBacc Language subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
154,TEBACC91,Number of pupils achieving the English Baccalaureate at grades 9-1,,,,,
155,PTEBACC91, % of pupils achieving the English Baccalaureate at grades 9-1 ,,,,,
156,TEBACENG91,Number of pupils achieving EBacc English subject area at grade 9-1,,,,,
157,PTEBACENG91,% of pupils achieving the EBacc English subject area at grade 9-1,,,,,
158,TEBACMAT91,Number of pupils achieving EBacc Maths subject area at grade 9-1,,,,,
159,PTEBACMAT91, % of pupils achieving the EBacc Maths subject area at grade 9-1,,,,,
160,TEBAC2SCI91,Number of pupils achieving EBacc Science subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
161,PTEBAC2SCI91, % entered pupils achieving the EBacc Science subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
162,TEBACHUM91,Number of pupils achieving EBacc Humanities subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
163,PTEBACHUM91, % entered pupils achieving the EBacc Humanities subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
164,TEBACLAN91,Number of pupils achieving EBacc Language subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
165,PTEBACLAN91, % of entered pupils achieving the EBacc Language subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
166,ATT8SCR_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil,,,,Yes,
167,P8PUP_FSM6CLA1A,Number of disadvantaged pupils in Progress 8 measure,,,,Yes,
168,TP8ADJ_FSM6CLA1A,Number of disadvantaged pupils in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
169,P8MEA_FSM6CLA1A,Adjusted Progress 8 measure - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
170,P8CILOW_FSM6CLA1A,Adjusted Progress 8 lower 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
171,P8CIUPP_FSM6CLA1A,Adjusted Progress 8 upper 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
172,P8MEA_FSM6CLA1A_ORIG,Unadjusted Progress 8 measure - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
173,P8CILOW_FSM6CLA1A_ORIG,Unadjusted Progress 8 lower 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
174,P8CIUPP_FSM6CLA1A_ORIG,Unadjusted Progress 8 upper 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
175,ATT8SCR_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil,,,,Yes,
176,P8PUP_NFSM6CLA1A,Number of non-disadvantaged pupils in Progress 8 measure,,,,Yes,
177,TP8ADJ_NFSM6CLA1A,Number of non-disadvantaged pupils in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
178,P8MEA_NFSM6CLA1A,Adjusted Progress 8 measure - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
179,P8CILOW_NFSM6CLA1A,Progress 8 lower 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
180,P8CIUPP_NFSM6CLA1A,Progress 8 upper 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
181,P8MEA_NFSM6CLA1A_ORIG,Unadjusted Progress 8 measure - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
182,P8CILOW_NFSM6CLA1A_ORIG,Unadjusted Progress 8 lower 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
183,P8CIUPP_NFSM6CLA1A_ORIG,Unadjusted Progress 8 upper 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
184,ATT8SCRENG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for English element,,,,Yes,
185,P8MEAENG_FSM6CLA1A,Progress 8 measure for English element - disadvantaged pupils,,,,Yes,
186,P8MEAENG_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 English element for disadvantaged pupils,,,,Yes,
187,P8MEAENG_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 English element for disadvantaged pupils,,,,Yes,
188,ATT8SCRMAT_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for mathematics element,,,,Yes,
189,P8MEAMAT_FSM6CLA1A,Progress 8 measure for maths element - disadvantaged pupils,,,,Yes,
190,P8MEAMAT_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 maths element for disadvantaged pupils,,,,Yes,
191,P8MEAMAT_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 maths element for disadvantaged pupils,,,,Yes,
192,ATT8SCREBAC_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for EBacc element,,,,Yes,
193,P8MEAEBAC_FSM6CLA1A,Progress 8 measure for EBacc element - disadvantaged pupils,,,,Yes,
194,P8MEAEBAC_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 EBacc element for disadvantaged pupils,,,,Yes,
195,P8MEAEBAC_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 EBacc element for disadvantaged pupils,,,,Yes,
196,ATT8SCROPEN_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element,,,,Yes,
197,P8MEAOPEN_FSM6CLA1A,Progress 8 measure for open element - disadvantaged pupils,,,,Yes,
198,P8MEAOPEN_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 open element for disadvantaged pupils,,,,Yes,
199,P8MEAOPEN_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 open element for disadvantaged pupils,,,,Yes,
200,ATT8SCRENG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for English element,,,,Yes,
201,P8MEAENG_NFSM6CLA1A,Progress 8 measure for English element - non-disadvantaged pupils,,,,Yes,
202,P8MEAENG_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 English element for non-disadvantaged pupils,,,,Yes,
203,P8MEAENG_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 English element for non-disadvantaged pupils,,,,Yes,
204,ATT8SCRMAT_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for mathematics element,,,,Yes,
205,P8MEAMAT_NFSM6CLA1A,Progress 8 measure for maths element - non-disadvantaged pupils,,,,Yes,
206,P8MEAMAT_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 maths element for non-disadvantaged pupils,,,,Yes,
207,P8MEAMAT_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 maths element for non-disadvantaged pupils,,,,Yes,
208,ATT8SCREBAC_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for EBacc element,,,,Yes,
209,P8MEAEBAC_NFSM6CLA1A,Progress 8 measure for EBacc element - non-disadvantaged pupils,,,,Yes,
210,P8MEAEBAC_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 EBacc element for non-disadvantaged pupils,,,,Yes,
211,P8MEAEBAC_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 EBacc element for non-disadvantaged pupils,,,,Yes,
212,ATT8SCROPEN_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element,,,,Yes,
213,P8MEAOPEN_NFSM6CLA1A,Progress 8 measure for open element - non-disadvantaged pupils,,,,Yes,
214,P8MEAOPEN_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 open element for non-disadvantaged pupils,,,,Yes,
215,P8MEAOPEN_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 open element for non-disadvantaged pupils,,,,Yes,
216,ATT8SCROPENG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element - GCSE only,,,,Yes,
217,ATT8SCROPENNG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element - non-GCSE only,,,,Yes,
218,ATT8SCROPENG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element - GCSE only,,,,Yes,
219,ATT8SCROPENNG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element - non-GCSE only,,,,Yes,
220,DIFFN_ATT8,Difference between Attainment 8 for disadvantaged pupils in school/LA and non-disadvantaged pupils nationally,,,,Yes,Yes
221,DIFFN_P8MEA,Difference between Progress 8 measure for disadvantaged pupils in school/LA and non-disadvantaged pupils nationally,,,,Yes,Yes
222,ATT8SCR_LO,Average Attainment 8 score per pupil with low prior attainment,,,,Yes,
223,P8PUP_LO,Number of pupils with low prior attainment included in Progress 8 measure,,,,Yes,
224,TP8ADJ_LO,Number of pupils with low prior attainments in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
225,P8MEA_LO,Adjusted Progress 8 measure - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
226,P8CILOW_LO,Adjusted Progress 8 lower 95% confidence interval - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
227,P8CIUPP_LO,Adjusted Progress 8 upper 95% confidence interval - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
228,P8MEA_LO_ORIG,Unadjusted Progress 8 measure - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
229,P8CILOW_LO_ORIG,Unadjusted Progress 8 lower 95% confidence interval - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
230,P8CIUPP_LO_ORIG,Unadjusted Progress 8 upper 95% confidence interval - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
231,ATT8SCR_AV,Average Attainment 8 score per pupil with middle prior attainment,,,,Yes,
232,P8PUP_AV,Number of pupils with middle prior attainment included in Progress 8 measure,,,,Yes,
233,TP8ADJ_AV,Number of pupils with middle prior attainments in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
234,P8MEA_AV,Adjusted Progress 8 measure - pupils with middle prior attainment,Yes - see 2018 methodology sheet for methodology change,,,Yes,
235,P8CILOW_AV,Progress 8 lower 95% confidence interval - pupils with middle prior attainment,Yes - see 2018 methodology sheet for methodology change,,,Yes,
236,P8CIUPP_AV,Progress 8 upper 95% confidence interval - pupils with middle prior attainment,Yes - see 2018 methodology sheet for methodology change,,,Yes,
237,P8MEA_AV_ORIG,Unadjusted Progress 8 measure - pupils with middle prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
238,P8CILOW_AV_ORIG,Unadjusted Progress 8 lower 95% confidence interval - pupils with middle prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
239,P8CIUPP_AV_ORIG,Unadjusted Progress 8 upper 95% confidence interval - pupils with middle prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
240,ATT8SCR_HI,Average Attainment 8 score per pupil with high prior attainment,,,,Yes,
241,P8PUP_HI,Number of pupils with high prior attainment included in Progress 8 measure,,,,Yes,
242,TP8ADJ_HI,Number of pupils with high prior attainments in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
243,P8MEA_HI,Adjusted Progress 8 measure - pupils with high prior attainment,Yes - see 2018 methodology sheet for methodology change,,,Yes,
244,P8CILOW_HI,Progress 8 lower 95% confidence interval - pupils with high prior attainment,Yes - see 2018 methodology sheet for methodology change,,,Yes,
245,P8CIUPP_HI,Progress 8 upper 95% confidence interval - pupils with high prior attainment,Yes - see 2018 methodology sheet for methodology change,,,Yes,
246,P8MEA_HI_ORIG,Unadjusted Progress 8 measure - pupils with high prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
247,P8CILOW_HI_ORIG,Unadjusted Progress 8 lower 95% confidence interval - pupils with high prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
248,P8CIUPP_HI_ORIG,Unadjusted Progress 8 upper 95% confidence interval - pupils with high prior attainments,Yes - see 2018 methodology sheet for methodology change,,,Yes,
249,ATT8SCR_EAL,Average Attainment 8 score per pupil for whom English is an additional language,,,,Yes,
250,ATT8SCRENG_EAL,Average Attainment 8 score per pupil for whom English is an additional language for English element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
251,ATT8SCRMAT_EAL,Average Attainment 8 score per pupil for whom English is an additional language for mathematics element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
252,ATT8SCREBAC_EAL,Average Attainment 8 score per pupil for whom English is an additional language for EBacc element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
253,ATT8SCROPEN_EAL,Average Attainment 8 score per pupil for whom English is an additional language for open element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
